id,video_id,start,end,query
1,senshi_001,177.3,199.6,"The nurse palpates the patient's wrist."
2,senshi_001,275.4,281.7,"The nurse performs hand hygiene."
3,senshi_001,288.7,304.7,"The nurse puts on an apron."
4,senshi_001,304.8,313.8,"The nurse puts on gloves."
5,senshi_001,381.0,390.3,"The nurse disinfects the skin at the wrist puncture site using an antiseptic wipe."
6,senshi_001,395.0,436.5,"The nurse inserts a needle into the wrist."
7,senshi_001,431.0,457.0,"The nurse applies temporary pressure to the puncture site."
8,senshi_001,452.8,474.7,"The nurse applies a hemostatic pad to the puncture site."
9,senshi_001,513.7,518.1,"The nurse removes the gloves."
10,senshi_001,517.8,519.7,"The nurse removes the face shield."
11,senshi_001,519.0,537.7,"The nurse removes the apron."
12,senshi_002,109.2,116.2,"The nurse performs hand hygiene."
13,senshi_002,116.0,124.8,"The nurse puts on gloves."
14,senshi_002,234.4,247.5,"The nurse disinfects the skin at the wrist puncture site using two antiseptic wipes."
15,senshi_002,272.1,309.0,"The nurse inserts a needle into the wrist."
16,senshi_002,305.2,332.0,"The nurse applies temporary pressure to the puncture site."
17,senshi_002,338.1,366.0,"The nurse secures the hemostatic pad with adhesive tape."
18,senshi_002,442.1,446.3,"The nurse removes the gloves."
19,senshi_002,446.4,453.0,"The nurse performs hand hygiene."
20,senshi_003,173.4,181.5,"The nurse performs hand hygiene."
21,senshi_003,223.7,230.4,"The nurse performs hand hygiene."
22,senshi_003,252.6,268.7,"The nurse puts on an apron."
23,senshi_003,269.0,272.7,"The nurse puts on a face shield with an attached mask."
24,senshi_003,272.9,276.7,"The nurse performs hand hygiene."
25,senshi_003,276.8,290.4,"The nurse puts on gloves."
26,senshi_003,323.6,358.4,"The nurse stabilizes the patient's hand on a support using tape."
27,senshi_003,358.1,365.3,"The nurse disinfects the skin at the puncture site."
28,senshi_003,365.1,372.7,"The nurse picks up a syringe and removes the needle cap."
29,senshi_003,380.7,390.5,"The nurse administers local anesthesia at the puncture site."
30,senshi_003,410.3,425.7,"The nurse removes the needle cap."
31,senshi_003,436.2,474.4,"The nurse inserts a needle into the patient's vein."
32,senshi_003,466.3,523.9,"The nurse applies temporary pressure to the puncture site."
33,senshi_003,523.5,545.3,"The nurse applies adhesive tape to the puncture site."
34,senshi_003,570.1,579.5,"The nurse removes the gloves."
35,senshi_003,579.5,591.0,"The nurse removes the apron."
36,senshi_003,591.0,602.0,"The nurse removes the face shield with an attached mask."
37,senshi_004,184.6,189.6,"The nurse performs hand hygiene."
38,senshi_004,221.6,285.9,"The nurse palpates the patient's wrist."
39,senshi_004,286.7,324.3,"The nurse prepares a support and stabilizes the patient's wrist on it using tape."
40,senshi_004,346.3,351.3,"The nurse performs hand hygiene."
41,senshi_004,351.6,363.0,"The nurse puts on gloves."
42,senshi_004,363.2,384.1,"The nurse disinfects the skin at the puncture site using an antiseptic swab."
43,senshi_004,387.2,391.4,"The nurse removes the gloves."
44,senshi_004,396.7,403.3,"The nurse puts on a surgical cap."
45,senshi_004,403.4,411.3,"The nurse puts on a face shield with an attached mask."
46,senshi_004,429.7,436.0,"The nurse performs hand hygiene."
47,senshi_004,435.6,467.3,"The nurse unfolds a sterile glove package."
48,senshi_004,468.0,497.2,"The nurse puts on gloves."
49,senshi_004,507.5,576.3,"The nurse puts on a gown with assistance from another person."
50,senshi_004,587.7,607.6,"The nurse unfolds a sterile drape and places it over the puncture site."
51,senshi_004,660.3,677.7,"The nurse administers local anesthesia at the puncture site."
52,senshi_004,660.3,677.7,"The nurse administers local anesthesia at the puncture site."
